ID,Sentence,Description,App names,Owner,State,Updated at
338558605,"When Status changes to Under Repair, start Repair Time. When it changes to anything stop.",,"","Ricky Panesar","active","Sep 12, 2024, 4:10 PM"
159585715,"1 day after Collection Date arrives and only if Client is not Corporate and only if Repair Type is not Quote Rejected and only if Repair Type is not Unrepairable and only if Repair Type is not No Fault Found and only if Client is not Warranty and only if Feedback is not Do Not Request set Feedback to Request Now","Trigger Feedback Request","","Maksym Shtanko","deactivated","Sep 12, 2024, 11:10 AM"
156855785,"When Feedback changes, send a webhook","Send Feedback Request Webhook","Webhooks","Maksym Shtanko","deactivated","Sep 12, 2024, 11:10 AM"
196083212,"When Requested Repairs changes, send a webhook",,"Webhooks","Ricky Panesar","deactivated","Sep 5, 2024, 11:38 AM"
319768936,"When Service changes to Mail-In
 notify Ricky Panesar",,"","Maksym Shtanko","deactivated","Sep 4, 2024, 9:47 AM"
44663250,"When Client changes to End User and only if Notifications is Unconfirmed set Notifications to ON",,"","Maksym Shtanko","active","Sep 3, 2024, 3:04 PM"
34083968,"When Status changes to Battery Testing, create an item in Battery Run-Down Tests and connect them in the selected board",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
16264589,"When Technician is assigned to Ricky Panesar, move item to Ricky",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
319313101,"When Status changes to Returned
 and only if Client is Warranty set Payment Status to Confirmed and set Payment Method to Warranty and move item to Returned",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
319902324,"When Status changes to Queued For Repair
 and only if Technician is assigned to Mike McAdam move item to group",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
319313390,"When Status changes to Invoiced
 set Payment Method to Invoiced - Xero and set Payment Status to Pending and move item to Client Services - To Do",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
319877126,"When Client changes to Warranty
 set Payment Status to Warranty and set Payment Method to Warranty",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
44663331,"When Client changes to Warranty and only if Notifications is Unconfirmed set Notifications to ON",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
35667471,"When Courier Return changes to Booking Complete set Status to Return Booked",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
318742209,"When Status changes to Repair Paused
 and only if Technician is assigned to Michael Ferrari move item to Ferrari",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
44664616,"When Client changes to Refurb set Notifications to OFF",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
275236281,"When an item is created set Unified Groups to Complete",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
218545034,"When Status changes to Queued For Repair
 and only if Technician is assigned to Andres Egas move item to Andres",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
259333840,"When Status changes from Under Repair to anything
 set Tech Repair Status to Complete",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
35667419,"When Courier Collection changes to Booking Complete set Status to Courier Booked",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
261851578,"When Technician is assigned and only if Technician is assigned to Michael Ferrari move item to Ferrari",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
177522593,"When Status changes to Queued For Repair
 and only if Technician is assigned to Michael Ferrari move item to Ferrari",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
277388549,"When status changes to something
 notify Gabriel Barr and clear Dev: Phase Deadline",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
259328813,"When Status changes to Diagnostics
 set Tech Repair Status to Active",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
154487601,"When Courier Collection changes to Booking Failed
 set Status to Error",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
259328523,"When Status changes to Under Repair
 set Tech Repair Status to Active",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
255422860,"When status changes to something
 clear Dev: Phase Deadline and notify Gabriel Barr",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
330530550,"When Status changes to Queued For Repair
 and only if Technician is assigned to Safan Patel move item to Safan (Short Deadline)",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
333956233,"When Status changes to Software Install
 and only if Technician is assigned to Safan Patel move item to Safan (Short Deadline)",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
44663164,"When Client changes to Corporate and only if Notifications is Unconfirmed set Notifications to ON",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
259334255,"When Status changes from Diagnostics to anything
 set Tech Repair Status to Complete",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
154487916,"When Courier Return changes to Booking Failed
 set Status to Error",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
218545511,"When Technician is assigned and only if Technician is assigned to Andres Egas move item to Andres",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
330530788,"When Status changes to Reassemble
 and only if Technician is assigned to Safan Patel move item to Safan (Short Deadline)",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
326485718,"When Status changes to Queued For Repair
 and only if Technician is assigned to Andres Egas move item to Andres",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
